"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"SAM271104411"	"SEMILLAS Y AGROPRODUCTOS MONSANTO S.A. DE C.V."	"Alimenticio y/o de consumo humano"	"311214"	"Elaboración de harina de otros productos agrícolas."	"27"	"ACONDICIONAMIENTO DE SEMILLA DE MAIZ Y SORGO"	"CORREDOR INDUSTRIAL SALAMANCA CELAYA"	"20°30'27"""	"100°59'10"""	"CARRETERA PANAMERICANA KM 293"	"KM 293"		"NA"	"NA"	"CENTRO"	"VILLAGRAN"	"Villagran"	"GUANAJUATO"	"38260"
"SAM271412011"	"SEMILLAS Y AGROPRODUCTOS MONSANTO SA DE CV"	"Alimenticio y/o de consumo humano"	"311214"	"Elaboración de harina de otros productos agrícolas."	"1J"	"ACONDICIONAMIENTO DE SEMILLAS HIBIRDAS UTILIZADAS PARA LA AGRICULTURA"		"20°46'3"""	"103°31'11"""	"PASEO DEL CERENERO"	"890"		"CARRETERA LA VENTA"	"TESISTAN"	"NEXTIPAC"	"NEXTIPAC"	"Zapopan"	"JALISCO"	"45520"
"SAM5T1506211"	"SANOFI AVENTIS DE MEXICO, S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"FABRICA O LABORATORIO DE DE MEDICAMENTOS O PRODUCTOS  BIOLÓGICOS PARA CONSUMO HUMANO"	"ACUEDUCTO DEL ALTO LERMA"	"19°16'18"""	"99°40'2"""	"ACUEDUCTO DEL ALTO LERMA"	"2"		"NA"	"NA"	"ZONA INDUSTRIAL OCOYOACAC"	"OCOYOACAC"	"Ocoyoacac"	"MEXICO"	"52740"
"SAM910803711"	"SCIENTIFIC ATLANTA DE MEXICO, S. DE R. L. DE C.V"	"Equipos y articulos electronicos, electricos y domesticos"	"334310"	"Fabricación de equipo de audio y de video."	"91"	"FABRICACION DE EQUIPO DE AUDIO Y DE VIDEO"	"PARQUE INDUSTRIAL INTERMEX"	"31°37'48"""	"106°23'24"""	"INTERMEX"	"1680"		"AVENIDA DE LAS TORRES"	"VALLE DEL CEDRO"	"PARQUE INDUDTRIAL INTERMEX"	"JUAREZ"	"Juarez"	"CHIHUAHUA"	"32690"
"SAM910803721"	"SERVICIOS ACME DE MEXICO S DE RL DE CV"	"Equipos y articulos electronicos, electricos y domesticos"	"334410"	"Fabricación de componentes electrónicos."	"91"	"FABRICACION Y ENSAMBLE DE EQUIPOS, COMPONENTES ELECTRICOS"	"Parque Industrial Intermex"	"31°37'5"""	"106°23'40"""	"Av. De Las Torres"	"2162"		"Ramon Rayon"	"Blvd Independencia"	"Parque Industrial Intermex"	"Cd Juarez"	"Juarez"	"CHIHUAHUA"	"32575"
"RTPKE0900711"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL       MODULO  -   08"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PUBLICO DE PASAJEROS"		"19°19'41"""	"99°3'22"""	"BRAULIO MALDONADO"	"100"		"BENITO JUAREZ"	"ARROYO FRIO"	"CONSEJO AGRARISTA MEXICANO"		"Iztapalapa"	"DISTRITO FEDERAL"	"09760"
"RTPKE0900713"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL  MODULO    8A"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PÚBLICO DE PASAJEROS"		"19°23'7"""	"99°2'46"""	"AV. TELECOMUNICACIONES"	"SN"		"EMILIO BALLI"	"ENRIQUE CONTEL"	"EJERCITO CONSTITUCIONALISTA"		"Iztapalapa"	"DISTRITO FEDERAL"	"09220"
"RTPKE0901011"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL    MÓDULO    15"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PÚBLICO DE PASAJEROS"		"19°22'53"""	"99°11'48"""	"RIO BECERRA"	"120"		"ALTA TENSIÓN"	"SAN ANTONIO"	"CAROLA"		"Alvaro Obregon"	"DISTRITO FEDERAL"	"01180"
"RTPKE0901311"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL        MODULO   03"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PUBLICO DE PASAJEROS"		"19°15'29"""	"99°1'7"""	"AQUILES SERDÁN"	"5865"		"LAS ANIMAS"	"AMARANTO"	"PUEBLO TULYEHUALCO"		"Xochimilco"	"DISTRITO FEDERAL"	"16700"
"RVC362201611"	"REFRESCOS VICTORIA DEL CENTRO, S. DE R.L. DE C.V. PLANTA SAN JUAN DEL RÍO"	"Bebidas y tabaco"	"312111"	"Elaboración de refrescos y otras bebidas no alcohólicas."	"36"	"LABORACION, ENVASADO Y DISTRIBUCION DE BEBIDAS-AGUA, REFRESCOS, JUGOS, NECTARES-"	"FRACCIONAMIENTO INDUSTRIAL VALLE DE ORO"	"20°24'49"""	"99°58'50"""	"AVENIDA CENTRAL"	"241"		"AVENIDA CENTRAL OTE"	"CONSTITUYENTES"	"FRACCIONAMIENTO INDUSTRIAL VALLE DE ORO"	"SAN JUAN DEL RIO"	"San Juan del Rio"	"QUERETARO"	"76802"
"S&C5I1901812"	"SOLVAY & CPC BARIUM STRONTIUM MONTERREY S. DE R.L. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES INORGÁNICAS."	"MUNICIPIO DE GARCÍA, NUEVO LEÓN"	"25°47'15"""	"100°34'53"""	"CARR. A GARCÍA, FRENTE A IND. DEL ALCALI"	"KM. 8.5"		"NA"	"NA"			"Garcia"	"NUEVO LEON"	"66000"
"SAA6E1900611"	"SEALED AIR AMERICAS MANUFACTURING S. DE R.L. DE C.V."	"Articulos y productos plasticos"	"326199"	"Fabricación de otros productos de plástico sin reforzamiento."	"6E"	"FABRICACIÓN DE PRODUCTOS DE PLÁSTICO NO ENUMERADOS"	"Parque Industrial Monterrey"	"25°46'9"""	"100°9'54"""	"Av. Parque Industrial Monterrey"	"506"		"Quinta Oriente"	"Sexta Oriente"	"Parque Industrial Monterrey"	"Apodaca"	"Apodaca"	"NUEVO LEON"	"66633"
"SAB1Z2111411"	"SABORMEX S.A. DE C.V."	"Alimenticio y/o de consumo humano"	"311423"	"Conservación de alimentos preparados por procesos distintos a la congelación."	"1Z"	"ELABORACION DE PRODUCTOS ALIMENTICIOS"	"FRACCIONAMIENTO INDUSTRIAL RESURRECCION"	"19°4'32"""	"98°9'10"""	"RESURRECCION SUR"	"302"		"RESURRECCION ORIENTE"	"RESURRECCION PONIENTE"	"FRACCIONAMIENTO INDUSTRIAL RESURRECCION"	"PUEBLA"	"Puebla"	"PUEBLA"	"72920"
"SAB2T0200211"	"SABRITAS S. DE R.L. DE C.V."	"Alimenticio y/o de consumo humano"	"311910"	"Elaboración de botanas."	"2T"	"Elaboración de frituras de maíz"	"PARQUE INDUSTRIAL MEXICALI III"	"32°35'5"""	"115°22'27"""	"Vía de la Producción"	"58"		"Carretera San Luis R.C.Son"	"Dren Tula"	"Gonzalez Ortega"	"Mexicali"	"Mexicali"	"BAJA CALIFORNIA"	"21600"
"SAB2T1412011"	"SABRITAS S DE RL DE CV"	"Alimenticio y/o de consumo humano"	"311910"	"Elaboración de botanas."	"2T"	"FABRICACION E INDUSTRIAS BOTANAS, BOCADILLOS, REFRESCOS"		"20°38'54"""	"103°25'25"""	"AV MOCTEZUMA ESQUINA CON PATRIA"	"2300"		"AVENIDA PATRIA"	"CALLE COLLI"	"CIUDAD DEL SOL"	"ZAPOPAN"	"Zapopan"	"JALISCO"	"45050"
"SAB7X0900711"	"SERVICIOS ADMINISTRATIVOS BROCHES S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"FABRICACIÓN Y VENTA  DE BROCHES METÁLICOS PARA ROPA"	"SEMI INDUSTRIAL"	"19°21'0"""	"99°6'0"""	"Antiguo camino a San Lorenzo"	"284"		"Av. Ermita"	"Camino Real A San Lorenzo"	"Los Angeles"		"Iztapalapa"	"DISTRITO FEDERAL"	"09830"
"SAC1P1301011"	"SIGMA ALIMENTOS CENTRO, S.A. DE C.V."	"Alimenticio y/o de consumo humano"	"311613"	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles."	"1P"	"ELABORACIÓN DE CARNES FRÍAS Y PIZZAS"		"20°3'2"""	"99°15'26"""	"CARRETERA REFINERÍA-ATITALAQUIA"	"127"		"CARRETERA TULA JOROBAS"	"ND"	"EL CARDONAL"	"ATITALAQUIA"	"Atitalaquia"	"HIDALGO"	"42970"
"SAC1P1503311"	"Sigma Alimentos Centro, S.A de C.V"	"Alimenticio y/o de consumo humano"	"311613"	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles."	"1P"	"Empacadora de carnes frías"	"Fraccionamiento Industrial Xalostoc"	"19°30'55"""	"99°5'11"""	"Ernesto Pugibet"	"2"		"Av. Vía Morelos"	"Antonio Gonzalez Mendoza"	"Fraccionamiento Industrial Xalostoc"		"Ecatepec de Morelos"	"MEXICO"	"55340"
"RQM5Q1501411"	"REICHHOLD QUÍMICA DE MÉXICO, S.A. DE C.V."	"Quimica"	"325211"	"Fabricación de resinas sintéticas."	"5Q"	"PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES)."	"PARQUE INDUSTRIAL ATLACOMULCO"	"19°47'18"""	"99°53'54"""	"BOULEVARD ARTURO MONTIEL ROJAS"	"10006"		"NICOLAS GONZÁLEZ FABELA"	"N/A"	"PARQUE INDUSTRIAL ATLACOMULCO"	"ATLACOMULCO"	"Atlacomulco"	"MEXICO"	"50458"
"RQU5I1901011"	"ROT QUIMICA, S. A. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES INORGÁNICAS."	"Zona Industrial Carmen Nuevo León"	"25°54'6"""	"100°21'36"""	"KM 14 CARRETERA MONTERREY MONCLOVA"	"NA"	"NA"	"ANTES DE VIAS DE FERROCARRIL"	"ENTRONQUE AL CARMEN, N. L."	"NA"	"CARMEN"	"Carmen"	"NUEVO LEON"	"66550"
"RQU5Q1904811"	"REACCIONES QUÍMICAS, S.A. DE C.V."	"Quimica"	"325211"	"Fabricación de resinas sintéticas."	"5Q"	"PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES)."	"PARQUE INDUSTRIAL EL OBISPO"	"25°41'41"""	"100°30'28"""	"CARRETERA A SALTILLO KM. 7"	"SN"		"PAMPLONA"	"SEVILLA"		"SANTA CATARINA"	"Santa Catarina"	"NUEVO LEON"	"66359"
"RQUS73004011"	"REIND QUIMICA S.A. DE C.V."	"Otros"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"BB"	"ACOPIO Y RECICLAJE DE RESIDUOS PELIGROSOS"		"20°29'9"""	"97°30'24"""	"CARRETERA COATZINTLA-CORRALILLOS KM 3.5"	"SN"	"SN"	"SIN CALLE"	"SIN CALLE"	"SN"	"LA LAJA"	"Coatzintla"	"VERACRUZ"	"93160"
"RSI5Q1605311"	"Resinas Sintéticas S.A. de C.V."	"Quimica"	"325211"	"Fabricación de resinas sintéticas."	"5Q"	"Fabricación de Productos Químicos en General"	"Nueva Zona Industrial"	"19°41'27"""	"101°13'14"""	"Juana Barragán"	"1356"		"Carlos María de Bustamante"	"José Manuel de Herrera"	"Agustín Arriaga Rivera"	"Morelia"	"Morelia"	"MICHOACAN"	"58190"
"RSM1501300024"	"RAMCO STAMPING DE MEXICO, S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"FABRICACIÓN Y VENTA DE PARTES TROQUELADAS Y MAQUINADOS"		"19°33'59"""	"99°14'22"""	"AV. SAN MATEO"	"40"		"CERRADA LAS FLORES"	"CERRADA PRADERAS"	"SAN JUAN BOSCO"	"ATIZAPÁN"	"Atizapan"	"MEXICO"	"52496"
"RTB9K0502511"	"RASSINI TORSION BARS S.A. DE C.V"	"Automotriz"	"336330"	"Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices."	"9K"	"FABRICACION DE BARRAS DE TORSION"	"DESARROLLO INDUSTRIAL RASSINI"	"28°41'22"""	"100°31'22"""	"PUERTO ARTURO"	"805"		"NA"	"NA"	"BRAVO"	"PIEDRAS NEGRAS"	"Piedras Negras"	"COAHUILA"	"26030"
"RTE162800311"	"ROYAL TECHNOLOGIES, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"212221"	"Minería de oro."	"12"	"MINERÍA DE ORO (SÓLO INCLUYE BENEFICIO)."	"PARQUE DE LA PEQUEÑA Y MEDIANA INDUSTRIA"	"22°24'30"""	"97°53'15"""	"BAHIA ADAIR"	"510"					"ALTAMIRA"	"Altamira"	"TAMAULIPAS"	"89608"
"RTNBK0200211"	"RECICLADORA TNT S.A. DE C.V."	"Otros"	"434311"	"Comercio al por mayor de desechos metálicos."	"BK"	"COMPRA Y VENTA DE MATERIALES FERROSOS Y NO FERROSOS"		"32°35'13"""	"115°25'48"""	"KM. 3.5 CARRETERA A SAN FELIPE"	"855"				"RIVERA CAMPESTRE"		"Mexicali"	"BAJA CALIFORNIA"	"21259"
"RTPKE0900211"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL   MÓDULO  23"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PÚBLICO DE PASAJEROS"		"19°29'43"""	"99°11'29"""	"AVENIDA SAN PABLO"	"306"		"DE LOS ANGELES"	"EJE 5 NORTE"	"REYNOSA"		"Azcapotzalco"	"DISTRITO FEDERAL"	"02200"
"RTPKE0900411"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL   MODULO  09"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE DE PÚBLICO DE PASAJEROS"		"19°22'21"""	"99°16'51"""	"CAMINO AL HUIZACHITO"	"25"		"PASCUAS"	"16  DE SEPTIEMBRE"	"NAVIDAD"		"Cuajimalpa de Morelos"	"DISTRITO FEDERAL"	"05210"
"RTPKE0900511"	"RED DE TRANSPORTE DE PASJEROS DEL DISTRITO FEDERAL      MÓDULO   12"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRASPORTE PUBLICO DE PASAJEROS"		"19°29'23"""	"99°5'31"""	"301"	"1001"		"302"	"307"	"NUEVA ATZACOALCO"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07420"
"RTPKE0900512"	"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL     MÓDULO   34"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TRANSPORTE PÚBLICO DE PASAJEROS"		"19°31'40"""	"99°8'25"""	"PUERTO DE MAZATLAN"	"11"		"MOCTEZUMA"	"F.C. DE VERACRUZ"	"LA PASTORA"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07290"
"RMIMB1503311"	"RAW MATERIAL INTERNACIONAL S.A DE C.V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"		"19°31'11"""	"99°5'16"""	"MIGUEL HIDALGO"	"105"		"BENITO JUAREZ"	"PORFIRIO DIAZ"	"URBANA IXHUATEPEC"	"URBANA IXHUATEPEC"	"Ecatepec de Morelos"	"MEXICO"	"54180"
"RMM7X0101111"	"RESORTES MONTICELLO DE MEXICO, S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"FABRICACIÓN Y COMPRA VENTA DE RESORTES"	"PARQUE INDUSTRIAL SAN FRANCISCO"	"22°2'5"""	"102°16'30"""	"AVENIDA MÉXICO"	"201"		"AVENIDA JAPON"	"AVENIDA ESTADOS UNIDOS"			"San Francisco de los Romo"	"AGUASCALIENTES"	"20300"
"RMM8A0900511"	"RECUBRIMIENTOS METÁLICOS DE MÉXICO, S.A. DE C.V."	"Quimica"	"332810"	"Recubrimientos y terminados metálicos."	"8A"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		"19°28'34"""	"99°6'9"""	"PELICANO (EDUARDO MOLINA Y AV. SAN JUAN)"	"229"		"EDUARDO MOLINA"	"AV. SAN JUAN DE ARAGON"	"AMPLIACION SAN JUAN DE ARAGON"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07460"
"RMS8A1902811"	"RECUBRIMIENTOS METÁLICOS SULTANA, S.A. DE C.V."	"Quimica"	"332810"	"Recubrimientos y terminados metálicos."	"8A"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		"25°57'40"""	"100°1'3"""	"MINA"	"100"		"MORELOS"	"BENITO JUAREZ"	"CENTRO"	"HIGUERAS"	"Higueras"	"NUEVO LEON"	"65700"
"RMW7N1901221"	"Rea Magnet Wire Trading Company de México S. de R.L. de C.V."	"Metalurgica (incluye la siderurgica)"	"331411"	"Fundición y refinación de cobre."	"7N"	"Producción de alambre de cobre y aluminio revestido"	"Parque Industrial Nacional"	"25°53'17"""	"100°13'3"""	"Av. México"	"101 Ote"		"TEXAS"	"NA"	"Los Encinitos"		"Cienega de Flores"	"NUEVO LEON"	"65550"
"RNA6E2802211"	"RESINOPLAST NORTH AMERICA, S. DE R. L. DE C. V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"Fabricación de compuestos de cloruro de polivinilo"	"CIUDAD INDUSTRIAL"	"25°50'50"""	"97°26'7"""	"PEDRO HINOJOSA"	"SN"		"PONIENTE 2"	"PONIENTE 4"	"CIUDAD INDUSTRIAL"	"MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87499"
"ROALJ0900511"	"ROSENDO RODRIGUEZ ALVAREZ"	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"LJ"	"FUNDICIÓN DE CHATARRA DE ALUMINIO CON UN 85 PORCIENTO DE PUREZA Y  LINGOTE DE ALUMINIO"	"NA"	"19°33'48"""	"99°7'45"""	"LUCHA REYES"	"4 MZ.41B"		"ND"	"ND"	"FORESTAL"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07140"
"ROD7X1403911"	"RODYGAN S.A DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"Fabricación de Muebles Metálicos Plegables y Fijos"	"ZONA INDUSTRIAL"	"20°38'12"""	"103°21'26"""	"Calle 22"	"2510"		"ND"	"ND"	"ZONA INDUSTRIAL"	"GUADALAJARA"	"Guadalajara"	"JALISCO"	"44940"
"ROJ8N0900611"	"REFRIGERACION OJEDA S.A DE C.V"	"Articulos y productos metalicos"	"333412"	"Fabricación de equipo de refrigeración industrial y comercial."	"8N"	"FRAVBRICACION DE CONGELADORES Y REFRIGERADORES"		"19°23'59"""	"99°6'37"""	"CANELA 79-A"	"79"		"BREA"	"PRIVADA DE CANELA"	"GRANJAS MEXICO"		"Iztacalco"	"DISTRITO FEDERAL"	"08400"
"ROMM10900511"	"ALEJANDRO ROQUE MONROY"	"Tratamiento de residuos peligrosos"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"M1"	"OTROS TRATAMIENTOS."		"19°27'59"""	"99°5'59"""	"NORTE 88A"	"5915"		"AV. VICTORIA"	"ORIENTE 117"	"GERTRUDIS SANCHEZ"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07839"
"ROS462802211"	"ROSAMAX S.A. DE C.V."	"Textiles, fibras e hilos"	"315223"	"Confección en serie de uniformes."	"46"	"CORTE ENSAMBLE Y MANUFACTURA DE ROPA DE TRABAJO"	"CIUDAD INDUSTRIAL"	"25°50'33"""	"97°25'48"""	"DIAGONAL LORENZO DE LA GARZA"	"57"		"PONIENTE 2"	"NORTE 6"	"CIUDAD INDUSTRIAL"	"H MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87494"
"ROT6E1102011"	"ROTOPLAS S.A DE CV"	"Articulos y productos plasticos"	"326193"	"Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento."	"6E"	"FABRICACIÓN, MOLDEADO, MAQUILA DE PRODUCTOS Y DERIVADOS DEL PLASTICO EN GENERAL"	"ZONA I-3, COMPLLEJO INDUSTRIAL"	"21°1'48"""	"101°34'32"""	"CARRETERA A SANTA ANA DEL CONDE"	"1650"	"0"	"FERROCARRIL"	"LOS LOPEZ"	"EJIDO LOS LOPEZ"	"LEON"	"Leon"	"GUANAJUATO"	"37680"
"ROT6E3019311"	"ROTOPLAS, S.A. DE C.V."	"Articulos y productos plasticos"	"326193"	"Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento."	"6E"	"FABRICACION Y RECUBRIMIENTO DE TINACOS DE PLASTICO"	"CD. INDUSTRIAL BRUNO PAGLIAI"	"19°9'45"""	"98°17'34"""	"AV. 2"	"Mzn 6"	"Lote 16A"	"AV. FRAMBOYANES"	"ESPUELA DEL FERROCARRIL"	"ND"	"VERACUZ"	"Veracruz"	"VERACRUZ"	"91697"
"ROTND1900611"	"ROTORES S.A. C.V"	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"FUNDICIÓN TROQUELADO MAQUINADO FRESADO Y ACABADO DE MATERIALES Y ARTICULOS EN GENERAL."	"PARQUE"	"25°45'49"""	"100°12'10"""	"BLVD. LIC. CARLOS SALINAS DE GORTARI"	"KM. 9.6"				"CENTRO"	"APODACA"	"Apodaca"	"NUEVO LEON"	"66600"
"RPM7X2201111"	"RESORTES Y PRODUCTOS METALICOS S. DE R.L. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"FABRICACION DE PRODUCTOS METALICOS, EXCEPTO MAQUINARIA"	"PARQUE INDUSTRIAL EL MARQUES"	"20°3'51"""	"100°14'45"""	"AVENIDA DEL VIRREY"	"6 Y 7"	"10"	"CIRCUITO EL MARQUES"	"AVENIDA DEL CONDE"	"PARQUE INDUSTRTIAL EL MARQUES"	"QUERETARO"	"El Marques"	"QUERETARO"	"76246"
"RMA5Q1510911"	"RESINAS Y MATERIALES S.A. DE C.V."	"Quimica"	"325211"	"Fabricación de resinas sintéticas."	"5Q"	"PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES)."	"FRACCIONAMIENTO INDUSTRIAL SAN MIGUEL ALLENDE"	"19°38'56"""	"99°9'51"""	"BOULEVARD TULTITLAN ORIENTE"	"SN"	"SN"	"EL SABINO"	"MIGUEL ALLENDE"	"BARRIO DE SANTIAGUITO"	"TULTITLAN"	"Tultitlan"	"MEXICO"	"54900"
"RMAN60901511"	"REPRESENTACIONES MEX-AMERICA, S.A. de C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS"		"19°26'35"""	"99°7'45"""	"DIAGONAL 20 DE NOVIEMBRE"	"264"		"5 DE FEBRERO"	"ISABEL LA CATÓLICA"	"OBRERA"		"Cuauhtemoc"	"DISTRITO FEDERAL"	"06800"
"RME1I1904811"	"RUSKIN DE MEXICO S.A.P.I. DE CV"	"Articulos y productos metalicos"	"332710"	"Maquinado de piezas metálicas para maquinaria y equipo en general."	"8L"	"FABRICACION DE REGULADORES DE TIRO Y ABANICOIS PARA UNIDADES DE AIRE ACONDICIONADO"	"PARQUE INDUSTRIAL LA HUASTECA"	"25°42'59"""	"100°31'5"""	"CARRETERA A VILLA DE GARCIA KM 2.5"	"KM 2.5"				"EL PALMAR"	"SANTA CATARINA"	"Santa Catarina"	"NUEVO LEON"	"66350"
"RME581510611"	"Repak México, S.A. de. C.V."	"Celulosa y papel"	"322210"	"Fabricación de envases de cartón."	"58"	"Reciclado de envases de papel."		"19°20'38"""	"99°35'39"""	"Santiago Graff"	"5"		"Ignacio Longares"	"Salvador Velasco"	"Parque Industrial Exportec 1"	"Toluca"	"Toluca"	"MEXICO"	"50200"
"RME5T1409811"	"ROMSA DE MEXICO S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"ALAMO INDUSTRIAL"	"20°37'15"""	"10°19'39"""	"METALURGIA"	"2820"		"OLEODUCTO"	"CHUMACERA"	"ALAMO INDUSTRIAL"	"TLAQUEPAQUE"	"Tlaquepaque"	"JALISCO"	"45560"
"RME7X1501411"	"RODELCO METALS, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"TALLER DE FUNDICION DE METALES"		"19°45'46"""	"99°53'29"""	"CAMINO REAL A TECOAC FRACCIONAMIENTO IV"	"1006"		"CAMINO REAL TECOAC"	"FRACIONAMIENTO IV"	"RANCHO SAN JOAQUIN"	"MEXICO"	"Atlacomulco"	"MEXICO"	"50450"
"RME9M2201411"	"RONAL MEXICANA SA DE CV"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL QUERETARO"	"20°59'5"""	"100°26'36"""	"AV. SAN PEDRITO"	"108"		"AV. LA NORIA"	"AV. BENITO JUAREZ"	"PARQUE INDUSTRIAL QUERETARO"	"SANTA ROSA JAUREGUI"	"Queretaro"	"QUERETARO"	"76220"
"RMELJ1510911"	"RAYO DE MEXICO, S.A."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"LJ"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"	"PARQUE INDUSTRIAL SAN ANTONIO"	"19°39'12"""	"99°10'0"""	"PASEO DE TULTITLAN"	"17"		"16 DE SEPTIEMBRE"	"PROL. IGNACIO ALLENDE"	"FRACCIONAMIENTO INDUSTRIAL RANCHO SAN MI"	"BARRIO SAN MIGUEL"	"Tultitlan"	"MEXICO"	"54090"
"RIM5T1412011"	"REPRESENTACIONES E INVESTIGACIONES MÉDICAS S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°43'49"""	"103°33'0"""	"CARRETERA  GUADALAJARA  NOGALES KM. 19"	"850"		"EJIDO"	"PRIMAVERA"	"LA VENTA DEL ASTILLERO"	"ZAPOPAN"	"Zapopan"	"JALISCO"	"45220"
